build_id,model_id,model_name,manufacturer,series,control_board,install_method,route_id,firmware_version,channel,file_name,size_bytes,sha256
s21xp-imm-aml-nand-v1.3.4,s21xp-imm,Antminer S21 XP Imm,Bitmain,x21,AML,nand,s21xp-imm-aml-nand,1.3.4,stable,vnish-s21xp-imm-aml-nand-v1.3.4.tar.gz,21543752,18f564d925f8cf671a6395279b4d5ed46900ae024d32dac3644228282a7dc7c2
t19-xil-nand-v1.3.4,t19,Antminer T19,Bitmain,x19,XIL,nand,t19-xil-nand,1.3.4,stable,vnish-t19-xil-nand-v1.3.4.tar.gz,16167259,463a3254504ef75b87664eb4fdc62e11eafed67f25196640c4c299e90b320d23
t19-hydro-xil-nand-v1.3.4,t19-hydro,Antminer T19 Hydro,Bitmain,x19,XIL,nand,t19-hydro-xil-nand,1.3.4,stable,vnish-t19-hydro-xil-nand-v1.3.4.tar.gz,16172938,cf6006226775564fa6fd250dec5907e2b62465f83b909a89e66af234c1060366
t19pro-hydro-xil-nand-v1.3.4,t19pro-hydro,Antminer T19 Pro Hydro,Bitmain,x19,XIL,nand,t19pro-hydro-xil-nand,1.3.4,stable,vnish-t19pro-hydro-xil-nand-v1.3.4.tar.gz,16175593,86853489c7536e0443937b3e4a2e95bf5b3473f52c949e62487b7c1eee65c488
t21-aml-nand-v1.3.4,t21,Antminer T21,Bitmain,x21,AML,nand,t21-aml-nand,1.3.4,stable,vnish-t21-aml-nand-v1.3.4.tar.gz,21551399,0d185bfe2b2c73a98e0b56d75f2883ec86340bfa54f680224f63f3da7f96db93
t21-cv-nand-v1.3.4,t21,Antminer T21,Bitmain,x21,CV,nand,t21-cv-nand,1.3.4,stable,vnish-t21-cv-nand-v1.3.4.tar.gz,12374271,afc8b4c445b7c20f55e4d3299a8b5cf43623b1ed660fd3a2650dfd4fba72a268
t21-xil-nand-v1.3.4,t21,Antminer T21,Bitmain,x21,XIL,nand,t21-xil-nand,1.3.4,stable,vnish-t21-xil-nand-v1.3.4.tar.gz,16185938,c57b662f2bd65ee1d445bee4d2bfef3cbe530f70cfcf55d7541438d9b1486fa5
u3s19xph-cv-nand-v1.3.4,u3s19xph,Antminer U3S19XP+H,Bitmain,x19,CV,nand,u3s19xph-cv-nand,1.3.4,stable,vnish-u3s19xph-cv-nand-v1.3.4.tar.gz,12379740,1fbd8174dbce7ffd8ecba7ca4fa93bdcd92fc8b6c448a410dd94039794cbb0fe
u3s21exph-xil-nand-v1.3.4,u3s21exph,Antminer U3S21EXPH,Bitmain,x21,XIL,nand,u3s21exph-xil-nand,1.3.4,stable,vnish-u3s21exph-xil-nand-v1.3.4.tar.gz,16176276,9b65807eb5c6cf0b3a0f5b9c8e4f189c1ab9affa408baa27f0ac192e7a8c8d28
s19apro-xil-nand-v1.3.5,s19apro,Antminer S19A Pro,Bitmain,x19,XIL,nand,s19apro-xil-nand,1.3.5,stable,vnish-s19apro-xil-nand-v1.3.5.tar.gz,16203601,7e52784408017e661cee1d25b8989d513e1a909d18ab8d0b17d83beb1c009f18
