route_id,model_id,model_name,control_board,control_board_code,install_method,firmware_version,file_name,sha256,size_bytes
s21plus-hydro-xil-nand,s21plus-hydro,Antminer S21+ Hydro,XIL,xil,nand,1.3.5,vnish-s21plus-hydro-xil-nand-v1.3.5.tar.gz,e2235f72b4bab0c6c38cfd1879176ccdde9a3e1c105b1684887e4677e7a5fc51,16193304
s21plus-plus-aml-nand,s21plus-plus,Antminer S21++,AML,aml,nand,1.3.5,vnish-s21plus-plus-aml-nand-v1.3.5.tar.gz,32bc1ff1bfd268710b2786d5008999e53dd7f5683af4b1bdf068e1d22ac92f26,21570895
s21pro-aml-nand,s21pro,Antminer S21 Pro,AML,aml,nand,1.3.5,vnish-s21pro-aml-nand-v1.3.5.tar.gz,dcee247ff134ae1c3ddfe777f6174082ffe0cbea2d90232127facbc398b07793,21570972
s21pro-plus-aml-nand,s21pro-plus,Antminer S21 Pro+,AML,aml,nand,1.3.5,vnish-s21pro-plus-aml-nand-v1.3.5.tar.gz,9493ad780bdd88182a55d369de8aa3358e6eee5d4b9fb63e36075cc833df5186,21574686
s21xp-aml-nand,s21xp,Antminer S21 XP,AML,aml,nand,1.3.5,vnish-s21xp-aml-nand-v1.3.5.tar.gz,f8baad7feea6e534655a3ecf5c61563aed084f64c1eec53cea8fbf45d117d393,21569886
s21xp-hydro-xil-nand,s21xp-hydro,Antminer S21 XP Hydro,XIL,xil,nand,1.3.5,vnish-s21xp-hydro-xil-nand-v1.3.5.tar.gz,fcf2dad8a181ff8f59c4f110c3f2d423e12242f1a2f1e5ab046a265d254ee0bf,16178115
s21xp-imm-aml-nand,s21xp-imm,Antminer S21 XP Imm,AML,aml,nand,1.3.5,vnish-s21xp-imm-aml-nand-v1.3.5.tar.gz,8d0152cf30e12e71fa44e6d0b98b89e42a24cb596a62acbda700b37f378f3d88,21549001
t19-hydro-xil-nand,t19-hydro,Antminer T19 Hydro,XIL,xil,nand,1.3.5,vnish-t19-hydro-xil-nand-v1.3.5.tar.gz,4bd4fd56d12d325256627b31a1984b9cbea3e97042b69c0cd5073b0a17331978,16175276
t19-xil-nand,t19,Antminer T19,XIL,xil,nand,1.3.5,vnish-t19-xil-nand-v1.3.5.tar.gz,34d990bdf1a14b2e45d7b194aeacd6c6e8108e768e14ad34ce6c0ff8a41c748f,16174185
t19pro-hydro-xil-nand,t19pro-hydro,Antminer T19 Pro Hydro,XIL,xil,nand,1.3.5,vnish-t19pro-hydro-xil-nand-v1.3.5.tar.gz,20137c73a96ecda325ef733a2cd9b45dca1d5155f8101065e03088b9c33e64e1,16180664
t21-aml-nand,t21,Antminer T21,AML,aml,nand,1.3.5,vnish-t21-aml-nand-v1.3.5.tar.gz,4dcb70e6774b23a96bb667fc184b433551b3c40f3e7e92e9908c5c54962330ae,21543890
t21-cv-nand,t21,Antminer T21,CV,cv,nand,1.3.5,vnish-t21-cv-nand-v1.3.5.tar.gz,597e15133d3bdfe8aafb96315342602facfe9226a196e61a8567e93a8d408e41,12362299
t21-xil-nand,t21,Antminer T21,XIL,xil,nand,1.3.5,vnish-t21-xil-nand-v1.3.5.tar.gz,eff551bbe9e88ff9444d66dedac20ec7ae9b1c0d2bc6756eb57f0e02d69b4589,16176233
u2l9h-aml-nand,u2l9h,Antminer U2L9H,AML,aml,nand,1.3.5,vnish-u2l9h-aml-nand-v1.3.5.tar.gz,95a77bfa2e37a7be83cb277b4cc9ea257ed036af80f1f38de53be79e053d3110,21574547
u3s19xph-cv-nand,u3s19xph,Antminer U3S19XP+H,CV,cv,nand,1.3.5,vnish-u3s19xph-cv-nand-v1.3.5.tar.gz,cc0e0045870247304045dc3e11a7e4c71241f067a56504355bb8c1a8b31429c4,12394566
u3s21exph-xil-nand,u3s21exph,Antminer U3S21EXPH,XIL,xil,nand,1.3.5,vnish-u3s21exph-xil-nand-v1.3.5.tar.gz,3baa1f0445b86ee4d2e7c6872c5ce824d5b8c35affee06388a297b61edc2cd59,16199380
