build_id,model_id,model_name,manufacturer,series,control_board,install_method,route_id,firmware_version,channel,file_name,size_bytes,sha256
s19j-xil-nand-v1.3.6,s19j,Antminer S19j,Bitmain,x19,XIL,nand,s19j-xil-nand,1.3.6,stable,vnish-s19j-xil-nand-v1.3.6.tar.gz,16189336,5b19039070417728d4818a57e1281472b29674e7d1d62a60be4a13ba0d023ae8
s19j-plus-aml-nand-v1.3.4,s19j-plus,Antminer S19j+,Bitmain,x19,AML,nand,s19j-plus-aml-nand,1.3.4,stable,vnish-s19j-plus-aml-nand-v1.3.4.tar.gz,21540919,ab88ee0a9c3bf64204b30f7b1d7abc63aa8b8dde5e252e9ef09524673911889e
s19j-plus-bb-nand-v1.3.4,s19j-plus,Antminer S19j+,Bitmain,x19,BB,nand,s19j-plus-bb-nand,1.3.4,stable,vnish-s19j-plus-bb-nand-v1.3.4.tar.gz,19259391,d65c9437a05f1ecbf7996b17c5ea291c3e87090bd7ddaef209cc7c675cb577b3
s19j-plus-cv-nand-v1.3.4,s19j-plus,Antminer S19j+,Bitmain,x19,CV,nand,s19j-plus-cv-nand,1.3.4,stable,vnish-s19j-plus-cv-nand-v1.3.4.tar.gz,12371444,bf0b72d5711b774ab58876458ad589f621660bbd5ad048577f6b1e62dce7eb3c
s19j-plus-xil-nand-v1.3.4,s19j-plus,Antminer S19j+,Bitmain,x19,XIL,nand,s19j-plus-xil-nand,1.3.4,stable,vnish-s19j-plus-xil-nand-v1.3.4.tar.gz,16186846,6361a55b19bc99226c94af421e24d339f5b50377f3188b4632ee0e6e5c101321
s19j-plus-aml-nand-v1.3.5,s19j-plus,Antminer S19j+,Bitmain,x19,AML,nand,s19j-plus-aml-nand,1.3.5,stable,vnish-s19j-plus-aml-nand-v1.3.5.tar.gz,21545042,24778f62e33090e6468941400eee4e4160195fcfa7dcd4c9849538da53a35707
s19j-plus-xil-nand-v1.3.5,s19j-plus,Antminer S19j+,Bitmain,x19,XIL,nand,s19j-plus-xil-nand,1.3.5,stable,vnish-s19j-plus-xil-nand-v1.3.5.tar.gz,16177937,f8a82f96e86e6ddb6c14a0d59844ba01e0e6d73d5a467643632d51b7cb33fa75
s19j-plus-bb-nand-v1.3.5,s19j-plus,Antminer S19j+,Bitmain,x19,BB,nand,s19j-plus-bb-nand,1.3.5,stable,vnish-s19j-plus-bb-nand-v1.3.5.tar.gz,19250809,22cac0f30f3f37f6b56bc453d675ce8fb1175815d9269fba0e1e7e43531314a1
s19j-plus-cv-nand-v1.3.5,s19j-plus,Antminer S19j+,Bitmain,x19,CV,nand,s19j-plus-cv-nand,1.3.5,stable,vnish-s19j-plus-cv-nand-v1.3.5.tar.gz,12370158,cf1b3469cddb7fb7bb74821af3aaa5fb3469d5d689959942cd60cacb8265dc9c
s19j-plus-aml-nand-v1.3.6,s19j-plus,Antminer S19j+,Bitmain,x19,AML,nand,s19j-plus-aml-nand,1.3.6,stable,vnish-s19j-plus-aml-nand-v1.3.6.tar.gz,21563504,de16592f91ce71bad66ebc5f13837d235c6d33ca1684008f874863e003bf8df8
s19j-plus-bb-nand-v1.3.6,s19j-plus,Antminer S19j+,Bitmain,x19,BB,nand,s19j-plus-bb-nand,1.3.6,stable,vnish-s19j-plus-bb-nand-v1.3.6.tar.gz,19254488,671ac24a66429cdd0b2b8c3b7e015929feebdc261f91c300d7bbb1a85abfae9a
s19j-plus-cv-nand-v1.3.6,s19j-plus,Antminer S19j+,Bitmain,x19,CV,nand,s19j-plus-cv-nand,1.3.6,stable,vnish-s19j-plus-cv-nand-v1.3.6.tar.gz,12471734,eb274c61c6eab9f656f85b452d474d79fde6a0fe45c40d6b8cee04583f05b0f6
s19j-plus-xil-nand-v1.3.6,s19j-plus,Antminer S19j+,Bitmain,x19,XIL,nand,s19j-plus-xil-nand,1.3.6,stable,vnish-s19j-plus-xil-nand-v1.3.6.tar.gz,16192346,6661f8c32ad7495c5eb9e7423e078642d202791bcf5820abb0499419dcbe189e
s19j-xp-aml-nand-v1.3.4,s19j-xp,Antminer S19j XP,Bitmain,x19,AML,nand,s19j-xp-aml-nand,1.3.4,stable,vnish-s19j-xp-aml-nand-v1.3.4.tar.gz,21542047,a941e456e35d781cc994cec3ce0693c08d98cfaafba3e8a2578272dbe318c438
s19j-xp-cv-nand-v1.3.4,s19j-xp,Antminer S19j XP,Bitmain,x19,CV,nand,s19j-xp-cv-nand,1.3.4,stable,vnish-s19j-xp-cv-nand-v1.3.4.tar.gz,12376987,88e1322c3973611423bf0666989e3c4f412bbe8a478112164e379fe52e4bb092
s19j-xp-xil-nand-v1.3.4,s19j-xp,Antminer S19j XP,Bitmain,x19,XIL,nand,s19j-xp-xil-nand,1.3.4,stable,vnish-s19j-xp-xil-nand-v1.3.4.tar.gz,16166134,d258ec81eb4b60121e8c9fea3061f25244e8a64133031ae82622fe96c5938ffa
s19j-xp-aml-nand-v1.3.5,s19j-xp,Antminer S19j XP,Bitmain,x19,AML,nand,s19j-xp-aml-nand,1.3.5,stable,vnish-s19j-xp-aml-nand-v1.3.5.tar.gz,21554516,b35732549f8a76524b6810fa43d0030cd1b3ec3bfd6858b65fc7eea48556745d
s19j-xp-xil-nand-v1.3.5,s19j-xp,Antminer S19j XP,Bitmain,x19,XIL,nand,s19j-xp-xil-nand,1.3.5,stable,vnish-s19j-xp-xil-nand-v1.3.5.tar.gz,16174016,5843eaa485790b1093977dc1aa78e7bc8e7ac8300158057d673f4a463d5995f9
